localidad
TATU PIRE
GRAL LUCIO V MANSILLA
GRAN GUARDIA
GUADALCAZAR
GUAYCOLEC
HERMINDO BONAS
HERRADURA
FORTIN CABO 1RO LUGONES
FORTIN CABO 1RO CHAVEZ
FORTIN CABO 1RO CHAVES
FORMOSA
EL SALADO
EL SAUCE
EL SILENCIO
EL SIMBOLAR
EL SOMBRERO NEGRO
EL SURR
EL TACURUZAL
EL TASTAS
EL TOTORAL
EL TOTORAL
EL TUCUMANCITO
EL YACARE
EL YUCHAN
CURTIEMBRE CUE
EL YULO
ESPINILLO
ESPINILLO
ESQUINITAS
ESTANCIA EL CIERVO
ESTANCIA LAS HORQUETAS
ESTANISLAO DEL CAMPO
ESTERITO
ESTERO GRANDE
ESTERO PATIÑO
EX FORTIN SOLA
EX POSTA GENERAL LAVALLE
FLORENCIO SANCHEZ
FLORENTINO AMEGHINO
EL ZORRO
COSTA SALADO
COSTA RIO NEGRO
COSTA DEL PILCOMAYO
CABALLO MUERTO
CABO 1RO CASIMIRO BENITEZ
CABO ADRIANO AYALA
CABO NOROÑA
CABO PRIMERO CHAVEZ
CAMPO ALEGRE
CAMPO AZCURRA
CAMPO DEL CIELO
CAMPO EL SURI
CAMPO GORETA
CAMPO GRANDE
CAMPO OSWALD
CAMPO REDONDO
CAMPO RIGONATO
CAÑADA DOCE
CAÑADA SAN PEDRO
CAPILLA SAN ANTONIO
CAPITAN JUAN SOLA
CARLOS PELEGRINI
CARLOS SAAVEDRA LAMAS
CASCO CUE
CATANEO CUE
CEIBO TRECE
CENTRO FRONTERIZO CLORINDA
CHAGADAY
CHIROCHILAS
CHURQUI CUE
BUENA VISTA
BUEN LUGAR
BRUCHARD
BRIGADIER GENERAL PUEYRREDON
19 DE MARZO
9 DE JULIO
AGENTE ARGENTINO ALEGRE
AGENTE FELIPE SANTIAGO IBAÑEZ
AGUA VERDE
AGUAS NEGRAS
ALFONSINA STORNI
ALOLAGUE
ALTO ALEGRE
ALTO ALEGRE
ANDRES FLORES
ANGOSTURA
APAYEREY
CLORINDA
ARBOL SOLO
BAHIA NEGRA
BAJO HONDO
BAJO VERDE
BALLON
BANCO PAYAGUA
BARRIO SAN JOSE OBRERO
BARRIO SAN MARTIN
BARRIO SUD AMERICA
BARTOLOME DE LAS CASAS
BELLA VISTA
BOCA DEL RIACHO DE PILAGA
BOCARIN
BOLSA DE PALOMO
AYUDANTE PAREDES
HIPOLITO VIEYTES
CMTE PRINCIPAL ISMAEL ST
CNIA ABORIGEN BME DE LAS CASAS
COLONIA PASTORIL
COLONIA PERIN
COLONIA PUENTE PUCU
COLONIA PUENTE URIBURU
COLONIA RECONQUISTA
COLONIA SABINA
COLONIA SAN BERNARDO
COLONIA SAN ISIDRO
COLONIA SAN ISIDRO
COLONIA SAN JOSE
COLONIA SAN PABLO
COLONIA SANTA CATALINA
COLONIA SANTA ROSA
COLONIA SANTA ROSA
COLONIA SANTA ROSA
COLONIA SANTORO
COLONIA SIETE QUEBRADOS
COLONIA TATANE
COLONIA UNION ESCUELA
COLONIA VILLA RICA
COMANDANTE FONTANA
COMISARIA PTE YRIGOYEN
CORONEL ARGENTINO LARRABURE
CORONEL ENRIQUE ROSTAGNO
CORONEL FELIX BOGADO
CORONEL JOSE I WARNES
COSTA DEL LINDO
COLONIA PALMAR GRANDE
COLONIA LOS TRES REYES
COLONIA LA SOCIEDAD
COLONIA LA DISCIPLINA
COLONIA 25 DE MAYO
COLONIA 5 DE OCTUBRE
COLONIA 8 DE SEPTIEMBRE
COLONIA ALFONSO
COLONIA ALTO TIGRE
COLONIA AQUINO
COLONIA BOUVIER
COLONIA BUENA VISTA
COLONIA CAMPO VILLAFAÑE
COLONIA CANO
COLONIA CORONEL DORREGO
COLONIA DALMACIA
COLONIA EL ALBA
CNEL MIGUEL MARTINEZ DE HOZ
COLONIA EL CATORCE
COLONIA EL RINCON
COLONIA EL SILENCIO
COLONIA EL ZAPALLITO
COLONIA FRANCISCO J MUÑIZ
COLONIA GUILLERMINA
COLONIA HARDY
COLONIA ISLA ALVAREZ
COLONIA ISLA DE ORO
COLONIA ISLA SOLA
COLONIA JOSE M PAZ
COLONIA JUAN B ALBERDI
COLONIA JUANITA
COLONIA LA BRAVA
COLONIA EL OLVIDO
HOSPITAL RURAL
EL RECODO
ING GUILLERMO N JUAREZ
POSTA SAN MARTIN 2
POSTA SANTA FE
POSTA SARGENTO CABRAL
POTRERO DE LOS CABALLOS
POTRERO NORTE
POZO DE LA YEGUA
POZO DE LAS BOTIJAS
POZO DE LOS CHANCHOS
POZO DE LOS CHANCHOS
POZO DE MAZA
POZO DE NAVAGAN
POZO DE PIEDRA
POZO DEL CUCHILLO
POZO DEL LEON
POZO DEL MAZA
POZO DEL MORTERO
POZO DEL TIGRE
POZO EL LECHERON
POZO HONDO
POZO LA CHINA
POZO LA NEGRA
POZO VERDE
POZO VERDE  ING G N JUAREZ
PQUE BOT FORESTAL L TORTORELLI
PRESIDENTE AVELLANEDA
PRESIDENTE YRIGOYEN
PRIMAVERA
POSTA SAN MARTIN 1
POSTA LENCINA
POSTA CAMBIO A ZALAZAR
PORTON NEGRO
MONTE LINDO  CNIA PASTORIL
MONTEAGUDO
NICORA
NUEVA ITALIA
NUEVO PILCOMAYO
NUEVO PILCOMAYO
OLEGARIO VICTOR ANDRADE
OLEGARIO VICTOR ANDRADE
PALMA SOLA
PALMA SOLA
PALMAR CHICO
PALMAR LARGO
PALMARCITO
PRIMERA JUNTA
PALO SANTO
PARQUE NACIONAL
PASO DE LOS TOBAS
PASO DE NAITE
PASO LA CRUZ
PASO NALTE
PATO MARCADO
PAVAO
PESCADO NEGRO
PIGO
PILAGA III
PIRANE
PONCHO QUEMADO
PORTEÑO VIEJO
PARA TODO
MONTE LINDO
PUERTO DALMACIA
PUERTO PILCOMAYO
SAN FRANCISCO DE LAISHI
SAN HILARIO
SAN ISIDRO
SAN ISIDRO
SAN ISIDRO
SAN JACINTO
SAN JUAN
SAN LORENZO
SAN MARTIN 1
SAN MARTIN 2
SAN MIGUEL
SAN RAMON
SAN SIMON
SANTA CATALINA
SANTA ISABEL
SANTA MARIA
SANTA ROSA
SANTA TERESA
SARGENTO AGRAMONTE
SARGENTO CABRAL
SATURNINO SEGUROLA
SEGUNDA PUNTA
SELVA MARIA
SGTO AYUDANTE V SANABRIA
SGTO MAYOR BERNARDO AGUILA
SIETE PALMAS
SOL DE MAYO
SAN CAYETANO
SAN CAMILO
SAN ANTONIO
SAN ANTONIO
PUERTO RAMONA
IBARRETA
PUESTO AGUARA
PUNTA DE AGUA
PUNTA GUIA
PUNTA PORA
QUEBRACHO MARCADO
RACEDO ESCOBAR
RANERO CUE
REDUCCION CACIQUE COQUENA
RESERVA NATURAL FORMOSA
RIACHO HE HE
RIACHO LINDO
PUERTO IRIGOYEN
RIACHO LINDO
RIACHO RAMIREZ
RICARDO GUIRALDES
RINCON FLORIDO
RINCON ÑANDU
RINCON ÑARO
RIO CUE
RIO MUERTO
RODEO TAPITI
ROZADITO
SALADILLO
SALADO
SALVACION
SAN ANTONIO
RIACHO NEGRO
MONTE CLARO
PUERTO SAN CARLOS
MONSEÑOR DE ANDREA
KILOMETRO 254
KILOMETRO 503
KILOMETRO 525
KILOMETRO 642
KILOMETRO 642 NAV R BERMEJO
LA BLANCA
LA CHINA
LA COLONIA
LA ESPERANZA
LA ESPERANZA
LA FLORENCIA
LA FLORIDA
LA FRONTERA
LA INMACULADA
LA JUNTA
LA LIBERTAD
LA LOMA
LA LUCRECIA
LA MANIJA
LA MEDIA LUNA
LA NOBLEZA
LA PALMA SOLA
LA PALMITA
LA PALOMA
LA PASION
LA PICADITA
LA PRIMAVERA
KILOMETRO 232
KILOMETRO 224
KILOMETRO 213
KILOMETRO 1895
MONTE AGUDO
INGENIERO ENRIQUE H FAURE
ISLA 9 DE JULIO
ISLA APANDO
ISLA CARAYA
ISLA DE PUEN
ISLA GRAL BELGRANO
ISLA OCA
ISLA PAYAGUA
ISLA TOLDO
ISLETA
ITUZAINGO
JOAQUIN V GONZALEZ
LA REPRESA
JOSE CANCIO
JOSE MANUEL ESTRADA
JUAN G BAZAN
JUAN JOSE PASO
JULIO CUE
KILOMETRO 100
KILOMETRO 109
KILOMETRO 128
KILOMETRO 139
KILOMETRO 142
KILOMETRO 15
KILOMETRO 1695
KILOMETRO 1695
KILOMETRO 1769
JOSE HERNANDEZ
LA SIRENA
KILOMETRO 193
LA URBANA
LOS INMIGRANTES
LOS NIDOS
LOS PILAGAS
LOS POCITOS
LOS SUSPIROS
LOS TRES REYES
LOTE 4
LOTE NRO 8
LUCERO CUE
MAESTRA BLANCA GOMEZ
MAESTRO FERMIN BAEZ
MARIA CRISTINA
MARIANO BOEDO
MATIAS GULACSI
MAYOR EDMUNDO V VILLAFAÑE
MAYOR MARCELO T ROJAS
MEDIA LUNA
MEDIA LUNA
MERCEDES CUE
MIGUEL CANE
MISION EL CARMEN
MISION EL QUEBRACHO
MISION EVANGELICA LAG YACARE
MISION TACAAGLE
MISTOL MARCADO
LA SOLEDAD
MOJON DE FIERRO
LOS GALPONES
LOS ESTEROS
MARCA M
LAS BOLIVIANAS
LAGUNA GALLO
LOS CLAVELES
LAGUNA INES
LAGUNA MURUA
LAGUNA NAICK NECK
LAGUNA YEMA
LAMADRID
LAS AVISPAS
LAS CAÑITAS
LAS CAÑITAS
LAS CHOYAS
LAS DELICIAS
LAGUNA BLANCA
LAS LOMITAS
LAS LOLAS
LOMA ZAPATU
LAS SALADAS
LAS TRES MARIAS
LAZO QUEMADO
LEGUA A
LOMA CLAVEL
LOMA HERMOSA
LOMA SENES
LAS MOCHAS
LORO CUE
LOS BALDES
LOS CHAGUANCOS
LOS CHIRIGUANOS
LOS CLAVELES
