localidad
VERDE OLIVO
JESUS MARIA
KILOMETRO 619
KILOMETRO 645
KILOMETRO 682
KILOMETRO 732
KILOMETRO 861
KILOMETRO 875
HUNQUILLAL
LA FLORIDA
EL BORDO
EL BARRIAL
ANGULOS
ANILLACO
ANJULLON
ANTINACO
ARAUCO
ATILES
BAJO CORRAL DE ISAAC
BAJO DE GALLO
BAJO GRANDE
BAJO HONDO
BAJO HONDO
BAJO JAGUEL
BALDE DEL QUEBRACHO
BALDE SALADO
BALDE SALADO
BALDE SAN ISIDRO
BALDES DE PACHECO
BAÑADOS DEL PANTANO
BANDA FLORIDA
BARRANQUITAS
BARRIO DE GALLI
BAYO MUERTO
BAZAN
BELLA VISTA
BOCA DE LA QUEBRADA
ANGUINAN
ANDOLUCAS
ANCHUMBIL
ANCHICO
ABRA VERDE
ULAPES
AGUA BLANCA
AGUA BLANCA
AGUA COLORADA
AGUA COLORADA
AGUA DE LA PIEDRA
AGUA DE PIEDRA
AGUADA
AGUADITA
AGUAYO
AICUÑA
BUENA VISTA
AIMOGASTA
ALGARROBO GRANDE
ALPASINCHE
ALTILLO DEL MEDIO
ALTO BAYO
ALTO CARRIZAL
ALTO JAGUEL
AMANA
AMBIL
AMILGANCHO
AMINGA
AMPATA
AMUSCHINA
ALCAZAR
EL BAYITO
CACHIYUYAL
CAMPO TRES POZOS
CHUQUIS
CISCO
COLONIA ALFREDO
COLONIA ORTIZ DE OCAMPO
COMANDANTE LEAL
CORDOBITA
CORRAL DE ISAAC
CORTADERAS
CORTADERAS EMBARCADERO FCGB
CUATRO ESQUINAS
CUATRO ESQUINAS
CUEVA DEL CHACHO
CUIPAN
DESIDERIO TELLO
DIQUE DE ANZULON
DIQUE LOS SAUCES
DIQUE LOS SAUCES
DISTRITO PUEBLO
EL ABRA
EL ALTO
EL ALTO
EL BALDE
EL BARRANCO
EL BARREAL
EL BARRIAL
CHUMBICHA
CHULO
CHIMENEA
CHILECITO
CAÑADA HONDA
CAÑADA VERDE
CAPIHUAS
CARRIZAL
CARRIZAL
CARRIZAL ESTACION FCGB
CARRIZALILLO
CARRIZALILLO
CASA PINTADA
CASAGATE
CASANGATE
CASAS VIEJAS
CAMPANAS
CASTRO BARROS
CATINZACO EMBARCADERO FCGB
CATUNA
CEBOLLAR
CERRO NEGRO
CHAMICAL
CHAÑAR
CHAÑARMUYO
CHAUPIHUASI
CHELCOS
CHEPES
CHEPES VIEJOS
CHILA
CATINZACO
LA HIGUERA
EL ALTILLO
LA IGUALDAD
SALANA
SALICAS
SALINAS DE BUSTOS
SALINAS DEL LEONCITO
SAMAY HUASI
SAN AGUSTIN
SAN ANTONIO
SAN ANTONIO
SAN ANTONIO
SAN ANTONIO
SAN ANTONIO
SAN BERNARDO
SAN BERNARDO
SAN CRISTOBAL
SAN GUILLERMO
SAN IGNACIO
SAN ISIDRO
SAN JAVIER
SAN JOSE
SAN JOSE
SAN JOSE
SAN JOSE
SAN JUAN
SAN LORENZO
SAN MARTIN
RIVADAVIA
RIOS DE LOS COLCOLES
RIOS DE LAS MESADAS
RIO DE LAS CAÑAS
POZO DE LA PIEDRA
POZO DE LA YEGUA
POZO DE PIEDRA
POZO DEL MEDIO
POZO ESCONDIDO
PUERTA DE LA QUEBRADA
PUERTO ALEGRE
PUERTO ALEGRE
PUERTO DEL VALLE
PUESTO DE CARRIZO
PUESTO DE LOS SANCHEZ
PUESTO DICHOSO
SAN MIGUEL
PUESTO TALITA
PUNTA DE AGUA
PUNTA DE LOS LLANOS
PUNTA DEL CERRO
PUNTA DEL NEGRO
QUEBRACHAL
QUEBRACHO HERRADO
QUEBRADA DE LOS CONDORES
QUEBRADA DEL VALLECITO
REAL DEL CADILLO
REPRESA DE LA PUNTA
REPRESA DEL MONTE
RETAMAL
PULUCHAN
POZO DE LA ORILLA
SAN MIGUEL
SAN NICOLAS
SEÑOR DE LA PEÑA
SIEMPRE VERDE
SIERRA BRAVA
SIERRA DE LOS QUINTEROS
SIMBOLAR
SOLCA
SURIYACO
TALA VERDE
TALAMUYUNA
TALVA
TAMA
TASQUIN
TERMAS
TERMAS DE SANTA TERESITA
TILIMUQUI
TINOCAN
TORRECITAS
TOTORAL
TRAMPA DEL TIGRE
TRES CERROS
TRES CRUCES
TUANI
TUYUBIL
LA HUERTA
TUIZON
SCHAQUI
SANTO DOMINGO FAMATINA
SANTO DOMINGO
SANTO DOMINGO
SAN PEDRO
SAN PEDRO
SAN RAFAEL
SAN RAFAEL
SAN RAMON
SAN RAMON
SAN RAMON
SAN ROQUE
SAN SOLANO
SAN VICENTE
SAÑOGASTA
SANTA ANA
SAN NICOLAS
SANTA BARBARA
SANTA CRUZ
SANTA CRUZ
SANTA CRUZ
SANTA CRUZ
SANTA ELENA
SANTA FLORENTINA
SANTA LUCIA
SANTA RITA LA ZANJA
SANTA ROSA
SANTA TERESA
SANTA VERA CRUZ
SANTO DOMINGO
SANTA CLARA
POZO DE AVILA
SAN NICOLAS
POTRERO GRANDE
LAS AGUADITAS
LAS BARRANCAS
LAS BOMBAS
LAS CAÑAS
LAS CATAS
LAS GREDAS
LAS HIGUERAS
LAS HIGUERILLAS
LAS PADERCITAS
LAS PADERCITAS
LAS PALOMAS
LAS PEÑAS
LAS SALINAS
LAS SIERRAS BRAVAS
LAS TALAS
LAS TOSCAS
LAS TUCUMANESAS
LAS TUSCAS
LAS TUSCAS
LAS VERTIENTES
LOMA BLANCA
LOMA LARGA
LOMA LARGA
LOROHUASI
LOS AGUIRRES
LA YESERA
LA TORRE
LA TORDILLA
LA SERENA
LA INVERNADA
LA ISLA
LA JARILLA
POZO BLANCO
LA LAGUNA
LA LANCHA
LA LATA
LA LIBERTAD
LA LIBERTAD
LA LOMITA
LA MARAVILLA
LA MERCED
LOS ALANICES
LA PAMPA
LA PERLITA
LA PINTADA
LA PIRGUA
LA PLAZA
LA PRIMAVERA
LA PUNTILLA
LA RAMADITA
LA REFORMA
LA REPRESA
LA REPRESA
LA RIOJA
LA ROSILLA
LA PAMPA
LOS ALGARROBOS
LA TRAMPA
LOS BALDES
NEPES
NONOGASTA
ÑOQUEVES
NUEVA ESPERANZA
OLPAS
OLTA
PACATALA
PADERCITAS
PAGANCILLO
PAGANZO
PARAJE MONTE GRANDE
PARECITAS
NACATE
PASO SAN ISIDRO
PATQUIA
PEÑAS BLANCAS
PIEDRA DE TALAMPAYA
PIEDRA LARGA
PIEDRA PINTADA
PINCHAS
PITUIL
LOS BALDECITOS
PLAZA NUEVA
PLAZA VIEJA
POLCO
PORTEZUELO DE LOS ARCE
PASTOS LARGOS
MONTE GRANDE
PALO LABRADO
MOLLACO
LOS BARRIALITOS
LOS BORDOS
LOS BARRIACITOS
LOS CERRILLOS
LOS COLORADOS
LOS CORIAS
LOS CORRALES
LOS FRANCES
LOS MOGOTES COLORADOS
LOS MOLINOS
LOS NACIMIENTOS
LOS OLIVARES
LOS OLMOS
LOS MISTOLES
MALLIGASTA
MEDANO
LOS PALACIOS
MIRANDA
MASCASIN
MESILLAS BLANCAS
MILAGRO
MACHIGASTA
LOS TAMBILLOS
LOS SARMIENTOS
LOS ROBLES
MALANZAN
